title,price,area,link1,rooms_No,ownership_form,interior_state,balcony,parking_space,link2,street,nbrhood,district,city,vvdship,timestamp
2 pokoje I Metro I Widok na Fort I Bezpośrednio,870000,2.0,https://www.otodom.pl/pl/oferta/2-pokoje-i-metro-i-widok-na-fort-i-bezposrednio-ID4nkfO,2,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/2-pokoje-i-metro-i-widok-na-fort-i-bezposrednio-ID4nkfO,ul. Kopalniana, Chrzanów, Bemowo, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
3 Pokoje Mokotów / 3 Rooms Mokotów,695000,3.0,https://www.otodom.pl/pl/oferta/3-pokoje-mokotow-3-rooms-mokotow-ID4lYIz,3,pełna własność,do remontu,balkon,no data,https://www.otodom.pl/pl/oferta/3-pokoje-mokotow-3-rooms-mokotow-ID4lYIz,ul. Braci Pillatich, Sielce, Mokotów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Mieszkania Bezczynnszowe z dużymi ogródkami,550000,50.0,https://www.otodom.pl/pl/oferta/mieszkania-bezczynnszowe-z-duzymi-ogrodkami-ID4gPya,3,pełna własność,do wykończenia,"balkon, ogródek, taras",garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/mieszkania-bezczynnszowe-z-duzymi-ogrodkami-ID4gPya,no info,Zerzeń, Wawer, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Białołęka, Krokwi, 2 pokoje, 44 m2",699000,44.0,https://www.otodom.pl/pl/oferta/bialoleka-krokwi-2-pokoje-44-m2-ID4ne68,2,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/bialoleka-krokwi-2-pokoje-44-m2-ID4ne68,ul. Krokwi, Henryków, Białołęka, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"3-pokoje Mieszkanie przy metrze Imielin - 62,08 m2",870000,62.08,https://www.otodom.pl/pl/oferta/3-pokoje-mieszkanie-przy-metrze-imielin-62-08-m2-ID4nqko,3,spółdzielcze wł. prawo do lokalu,do zamieszkania,balkon,no data,https://www.otodom.pl/pl/oferta/3-pokoje-mieszkanie-przy-metrze-imielin-62-08-m2-ID4nqko,no info,Pyry, Ursynów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Ciche odświeżone mieszkanie przy metrze,679000,44.23,https://www.otodom.pl/pl/oferta/ciche-odswiezone-mieszkanie-przy-metrze-ID4mQ3d,2,pełna własność,do zamieszkania,no data,no data,https://www.otodom.pl/pl/oferta/ciche-odswiezone-mieszkanie-przy-metrze-ID4mQ3d,ul. Stalowa, Nowa Praga, Praga-Północ, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
3-pokojowe mieszkanie 54m2 + balkon,Zapytaj o cenę,3.0,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-54m2-balkon-ID4imnq,3,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-54m2-balkon-ID4imnq,ul. Jana Nowaka-Jeziorańskiego, Gocław, Praga-Południe, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Złota 44 | 79 m² | Studio-Apartament,3990000,79.9,https://www.otodom.pl/pl/oferta/zlota-44-79-m-studio-apartament-ID4lJ4M,2,pełna własność,do zamieszkania,"balkon, taras",garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/zlota-44-79-m-studio-apartament-ID4lJ4M,ul. Złota 44, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Wyjątkowe 3 pok.Łazienki Metro,978000,3.0,https://www.otodom.pl/pl/oferta/wyjatkowe-3-pok-lazienki-metro-ID4nsql,3,pełna własność,do zamieszkania,no data,no data,https://www.otodom.pl/pl/oferta/wyjatkowe-3-pok-lazienki-metro-ID4nsql,al. Aleja Jana Chrystiana Szucha, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
= Okazja = Własny dom 80m2 z ogródkiem = Ursus =,638000,79.85,https://www.otodom.pl/pl/oferta/okazja-wlasny-dom-80m2-z-ogrodkiem-ursus-ID4llLd,6,pełna własność,do remontu,no data,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/okazja-wlasny-dom-80m2-z-ogrodkiem-ursus-ID4llLd,ul. Franciszka Adolfa Achera, Skorosze, Ursus, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
