title,price,area,link1,rooms_No,ownership_form,interior_state,balcony,parking_space,description,link2,street,nbrhood,district,city,vvdship,timestamp
Piękne mieszkanie 3 pokojowe z ogródkiem,829035,3.0,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-3-pokojowe-z-ogrodkiem-ID4ntZr,3,pełna własność,do wykończenia,ogródek,no data,"Do sprzedaży oferuję cesje umowy deweloperskiej mieszkania 3pokojowego o wielkości 61,41 m2. Mieszkanie z bardzo fajnym rozkładem. Dodatkowym atutem jest taras o wielkości 82 m2. Mieszkanie znajduje w inwestycji ""Osiedle Przy Kampinosie"" na warszawskich Bielanach - tuż przy Puszczy Kampinoskiej. Lokalizacja: Warszawskie Bielany to dzielnica, która stwarza wyjątkowe warunki do odpoczynku i relaksu, umożliwiając jednocześnie mieszkańcom dobrą komunikację z centrum Warszawy. Dzięki temu, z każdym kolejnym rokiem, Dzielnica zwiększa swoją populację, a wraz z nią rozwija się sieć połączeń transportu zbiorowego. Na uwagę zasługuje tu węzeł komunikacyjny na Młocinach, który stanowi stacja metra I linii oraz przystanki i pętla wielu linii tramwajowych i autobusowych, w tym również podmiejskich i dalekobieżnych. To wszystko sprawia, że dojazd do centrum Warszawy, sąsiednich dzielnic, miast, czy nawet wyjazd na wakacje komunikacją zbiorową nie stanowi kłopotu. Jednak nie zawsze jest konieczność opuszczania Bielan, ponieważ na miejscu można skorzystać z wielu urzędów – Urząd Skarbowy, ZUS, Urząd Dzielnicy, zrobić zakupy w nowoczesnej galerii Młociny, czy spędzić wspaniały weekend w Kampinoskim Parku Narodowym. Inwestycja zlokalizowana jest 400 m od wejścia do Kampinoskiego Parku Narodowego!!! Dlaczego to takie ważne? Dlatego, że każdego dnia, kiedy tylko zapragniesz, możesz odpoczywać w jednym z największych i najpiękniejszych polskich parków, gdzie bogactwo przyrodnicze i historyczne, nie ma sobie równych. Jeśli zamieszkasz tu, Twój dom stanie się bazą wypadów rowerowych, pieszych wycieczek i innych przedsięwzięć rekreacyjnych. Każdego dnia po pracy będziesz chętnie wracać do domu, a dzięki niedużej odległości od centrum Warszawy, zrobisz to szybko zarówno jadąc autem, jak i komunikacją publiczną (metro, autobusy linii 110, 181, 250, 409, 712, L-7, N91). ""Przy kampinosie"" to wspaniałe miejsce nie tylko dla osób aktywnych fizycznie. Cała Twoja rodzina będzie mogła rozwijać się artystycznie w Bielańskim Ośrodku Kultury przy ulicy Estrady, oddalonym około 1 kilometra od mieszkania oraz w szkole podstawowej przy ulicy Arkuszowej. A będzie jeszcze ciekawiej! Na przykład w planach jest trasa szybkiego ruchu S7 ułatwiająca dojazd do centrum Warszawy z jednej strony i nad morze z drugiej, jednocześnie na tyle oddalona od inwestycji Przy Kampinosie, że nie będzie obniżała komfortu mieszkańcom.",https://www.otodom.pl/pl/oferta/piekne-mieszkanie-3-pokojowe-z-ogrodkiem-ID4ntZr,ul. Loteryjki, Wólka Węglowa, Bielany, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
"Bezpośrednio dwupokojowe 47 m2, Warszawa Wesoła",700000,47.15,https://www.otodom.pl/pl/oferta/bezposrednio-dwupokojowe-47-m2-warszawa-wesola-ID4jXtX,2,pełna własność,do zamieszkania,"balkon, taras",garaż/miejsce parkingowe,"Sprzedam dwupokojowy lokal mieszkalny z możliwością adaptacji na biuro lub gabinet. Mieszkanie znajduje się na pierwszym piętrze w kameralnym budynku przy ul. Mazowieckiej w Warszawie Wesołej. Na elewacji lokalu dobrze widoczny z ulicy szyld.   - salonu, - aneksu kuchennego z lodówką i zmywarką - łazienki z WC i kabiną prysznicową oraz pralką, - holu z szafą wnękową, - pokoju sypialnego, - balkonu i tarasu, - lokal jest umeblowany praktycznymi szafkami zasłaniającymi aneks kuchenny i wykończony pod klucz, posiada klimatyzację i system alarmowy, zabudowa aneksu kuchennego w łatwy sposób możliwa do zdemontowania, - do salonu z aneksem kuchennym przylega balkon 5 m2 a do sypialni wygodny taras 10 m2, - do ceny lokalu należy doliczyć obligatoryjnie koszt 1 zewnętrznego miejsca postojowego, wygodnego nawet dla dużego dostawczego samochodu, przylegającego do budynku w cenie 30.000,- PLN brutto,    Lokal będzie sprzedawany od osoby fizycznej. Nie jest wystawiana faktura VAT . Oprócz kosztów aktu notarialnego kupujący ponosi koszty podatku PCC w wysokości 2% lub jest zwolniony wg ustawy.   Dla lokalu została już wydzielona niezależna księga wieczysta i kupujący nie ponosi kosztów jej wyodrębnienia. Księga bez obciążeń. Teren zamkniętego osiedla kameralnych 4 budynków, własne liczniki gazu, prądu i wody. Ogrzewanie piec dwufunkcyjny gazowy ze sterowaniem pokojowym. Czynsz do wspólnoty mieszkaniowej obejmujący fundusz remontowy, bieżące utrzymanie osiedla, wywóz śmieci, zaliczkę na wodę wynosi ok. 350,- zł / miesięcznie. Dobry dojazd co centrum i SKM Wesoła. W pobliżu tereny Mazowieckiego Parku Krajobrazowego, ośrodek jeździecki, przedszkole, przychodnia, centrum handlowe. Sprzedaż bezpośrednia, mieszkanie dostępne od ręki. Na świeżo odmalowane, nadaje się do zamieszkania od zaraz. Z góry dziękuję za współpracę pośrednikom nieruchomości. Sprzedaż bezpośrednia. Kontakt tel. 502 116 990,",https://www.otodom.pl/pl/oferta/bezposrednio-dwupokojowe-47-m2-warszawa-wesola-ID4jXtX,ul. Mazowiecka, Stara Miłosna, Wesoła, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
"Bezpośrednio, 3 pokoje po remoncie, metro Bemowo",939000,57.2,https://www.otodom.pl/pl/oferta/bezposrednio-3-pokoje-po-remoncie-metro-bemowo-ID4mXGz,3,pełna własność,do zamieszkania,no data,garaż/miejsce parkingowe,"3 pokojowe mieszkanie na Bemowie o powierzchni 57 m2 usytuowane na półpiętrze w budynku z 2004r. W skład lokalu wchodzą salon z aneksem kuchennym, 2 sypialnie, przedpokój oraz łazienka. Lokal świeżo po remoncie przeprowadzonym pod nadzorem projektanta. Mieszkanie dwustronne. Ekspozycja północ- południe. Widok na zieleń z obydwu stron. Wysokość 275cm Status Prawny – własność z założoną księgą wieczystą. Czynsz około 680 zł.   Kuchnia: lodówka, piekarnik, płyta indukcyjna, zmywarka, okap Salon: kanapa, stół, krzesła, szafka tv Sypialnia: szafa wnękowa, łóżko Łazienka: szafka z umywalką, wanna z funkcją prysznica, pralka Przedpokój: szafa wnękowa,   Budynek mieści się przy ulicy Gen. Tadeusza Pełczyńskiego 22B 10 min pieszo do stacji metra Bemowo 8 min pieszo do stacji metra Lazurowa (oddanie 2024) Pętla tramwajowa i autobusowa  przy ul. Górczewskiej W pobliżu pełna infrastruktura: restauracje, sklepy, punkty usługowe, szkoły, ścieżki rowerowe. Nieopodal park Górczewska, Moczydło, w dalszej odległości rezerwat Łosiowe Błota oraz Kampinoski Park Narodowy (kilkanaście minut rowerem)   Umiejscowiony na kameralnym osiedlu, 4 piętrowy, estetyczny, czysty i zadbany. Odpowiednio oddalony od głównych ulic (cisza, spokój, zieleń) Bardzo mili i przyjaźni sąsiedzi.   Prezentowany lokal daje wiele możliwości inwestycyjnych. Doskonale sprawdzi się jako: mieszkanie dla rodziny (3 pokoje),  singla/singielki lub na wynajem długoterminowy (kluczowa jest tu lokalizacja)   Do lokalu przynależy komórka o wielkości 6m2 oraz zewnętrzne miejsce postojowe (zadaszone)  - łącznie dodatkowe płatne 50 000 zł   Oferta prywatna. Brak zgody na kontakt ze strony agencji.",https://www.otodom.pl/pl/oferta/bezposrednio-3-pokoje-po-remoncie-metro-bemowo-ID4mXGz,ul. gen. Tadeusza Pełczyńskiego, Górce, Bemowo, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
100 M od stacji Metro Księcia Janusza!!,629000,31.1,https://www.otodom.pl/pl/oferta/100-m-od-stacji-metro-ksiecia-janusza-ID4nwet,1,no data,no data,no data,no data,"Mieszkanie jednopokojowe usytuowane na VI piętrze estetycznie wykończonego budynku z 2007 roku.  Grunty nie uregulowane, zakup za gotówkę. Spółdzielcze własnościowe z KW Mieszkanie jest w pełni wykończone, umeblowane i wyposażone.  Czynsz administracyjny z zaliczkami na media 630zł Ładny widok na panoramę miasta. Otoczenie budynku jest zadbane i czyste, w budynku: sklep Carrefour, Pralnia Samoobsługowa.  Świetna lokalizacja w pobliżu, CH Wola Park, poczta, apteka, żłobek, przedszkole, szkoła. Blok położony 5 minut spacerem od parków i terenów zielonych: Moczydło, Księcia Janusza, Sowińskiego, Parku Szymańskiego oraz Lasku na Kole.  Znakomity dojazd do centrum przy ul. Górczewskiej wiele linii autobusowych, a także stacja Metra Księcia Janusza. Mieszkanie idealne dla osób ceniących spokój i ciszę, a zarazem lubiących się cieszyć urokami miasta. Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()",https://www.otodom.pl/pl/oferta/100-m-od-stacji-metro-ksiecia-janusza-ID4nwet,ul. Księcia Janusza, Koło, Wola, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
Unikalny widok na tor wyścigów konnych,1030000,55.4,https://www.otodom.pl/pl/oferta/unikalny-widok-na-tor-wyscigow-konnych-ID4nwel,2,pełna własność,do zamieszkania,no data,no data,"Opiekun oferty Bartosz Biernacki tel. 602 101 602 Do sprzedania  2-pokojowe mieszkanie o pow. 55.4 m2 na Ursynowie przy ul. Kłobuckiej. Przestronne mieszkanie z wyjątkowym widokiem na Tor Wyścigów Konnych na warszawskim Służewcu. Bardzo widne i ustawne mieszkanie.  Prezentowane mieszkanie znajduje się na trzecim piętrze w pięciopiętrowym apartamentowcu. Osiedle jest zamknięte a na wewnętrznym patio znajduje się plac zabaw. W najbliższym otoczeniu znajdują się piekarnia, sklepy spożywcze, kawiarnie, restauracje, punkty usługowe, placówki edukacyjne oraz medyczne. - salon z aneksem kuchennym - sypialnia - łazienka - przedpokój - dostępne od zaraz - zabudowa na wymiar w przedpokoju - aneks kuchenny z wyspą - duży plac zabaw na terenie osiedla, - wystawa okien: wschód, - duży balkon, - miejsce postojowe na parkingu podziemnym, płatne dodatkowo - 35 000 zł (zakup obligatoryjny),  - komórka lokatorski, płatne dodatkowo - 25 000 zł (zakup obligatoryjny), - bliskość terenów zielonych. Nieruchomość tę polecam szczególnie dla singla, pary ewentualnie dla pary z dzieckiem. Idealnie również jako inwestycja pod wynajem. Pomagamy w uzyskaniu finansowania na tę i inne nieruchomości. Zadzwoń i zapytaj o szczegóły. Serdecznie zapraszam na prezentację.",https://www.otodom.pl/pl/oferta/unikalny-widok-na-tor-wyscigow-konnych-ID4nwel,ul. Kłobucka, Wyczółki, Ursynów, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
Mieszkanie trzypokojowe KABATY,1440000,3.0,https://www.otodom.pl/pl/oferta/mieszkanie-trzypokojowe-kabaty-ID4nkAr,3,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,"Sprzedam bezpośrednio: Mieszkanie 3 pokojowe z dwoma balkonami w budynku z 1997/1998r., zlokalizowanym w dobrym punkcie komunikacyjnym, w pobliżu stacji metra - KABATY. Wykończone w dobrym standardzie w 1998r. na podłodze w pokojach parkiet. Przestrzenne - bardzo dobry rozkład - dwustronne, orientacja wschód- zachód. Salon ma powierzchnię ok. 22 mkw. Z salonu wyjście na balkon - w kierunku zachodnim. Kuchnia z jadalnię ma pow. ok. 14 mkw.  ładnie zagospodarowanego patio. Dwie sypialnie ok. 17 i 13 mkw, z większej sypialni wyjście balkon – widok na zieleń i zagospodarowane patio. Przestronna łazienka z wanną. Oddzielnie WC.  Z hollu wejście do garderoby. Wysokość pomieszczeń 2,76 m.  . Mieszkanie jest ciche, słoneczne i przestronne znajduje się na I piętrze, w budynku nie ma windy. Do lokalu przynależy wygodne miejsce postojowe w garażu wielostanowiskowym pod budynkiem, blisko wejścia do klatki oraz piwnica ok. 3,54 mkw., zlokalizowana obok miejsca postojowego (+ 60 tys.) Mieszkanie bez  obciążeń, możliwość posiłkowania się kredytem bankowym przy zakupie. Kameralne osiedle, dobrze zarządzająca, mała spółdzielnia mieszkaniowa. W pobliżu osiedla doskonała infrastruktura szkoły, przedszkola, sklepy, usługi itp. Niewątpliwą zaletą lokalizacji jest bliskość rezerwatu przyrody LASU KABACKIEGO. Pośrednikom dziękuję.  Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.",https://www.otodom.pl/pl/oferta/mieszkanie-trzypokojowe-kabaty-ID4nkAr,ul. Wąwozowa, Kabaty, Ursynów, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
REZERWACJA Rezerwacja ul.Saska 38.5m2 plus Balkon,529900,38.5,https://www.otodom.pl/pl/oferta/rezerwacja-rezerwacja-ul-saska-38-5m2-plus-balkon-ID4ns9G,2,pełna własność,do remontu,balkon,no data,REZERWACJA REZERWACJA Oferta mieszkania  w centrum Saskiej Kepy. 38.5m2  2 pokoje. Mieszkanie mieści się  na 3 piętrze w 9 piętrowym budynku z lat 60 tych. Pełna własność z księgą wieczystą.  Mieszkanie beż obciążeń.  Piwnica około.3m2 w cenie Oferta biura nieruchomości.,https://www.otodom.pl/pl/oferta/rezerwacja-rezerwacja-ul-saska-38-5m2-plus-balkon-ID4ns9G,ul. Saska 48a, Saska Kępa, Praga-Południe, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
"4-pokojowe mieszkanie, 84,50 m2 na Jelonkach/Bemow",1013155,84.5,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-84-50-m2-na-jelonkach-bemow-ID4nl4R,4,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,"Warszawskie Jelonki, Bemowo, Pośrednikom dziękujemy!  Piękne, przestronne, słoneczne mieszkanie o powierzchni 84,5 m2 w budynku cegły z 1994.   4 osobne pokoje, zatem mieszkanie  idealne jako inwestycja pod wynajem.  Oddzielna i wyposażona kuchnia - z możliwością połączenia z salonem.  Łazienka i toaleta osobno. W korytarzu i jednym z pokoi duże szafy typu „Komandor”.  Do każdego z pomieszczeń wejście bezpośrednio z korytarza, nie ma pomieszczeń przechodnich.  Generalnie wyremontowane w 2012 r., wymienione okna, posadzki, kuchnia z wyposażeniem, łazienki.  W salonie zamontowana  cicha klimatyzacja, duży balkon.  Miejsce na ogrodzonym parkingu (obok bloku) i duża piwnica w cenie mieszkania  2 piętro bez windy  Cicha, zielona okolica, 50 m od parku Górczewska,  Wokół pełna infrastruktura, szkoły, żłobki, przedszkola, przystanki komunikacji. Stacja metra nieopodal (Metro Ratusz), w budowie kolejne.  Na piętrze tylko dwa mieszkania, spokojni sąsiedzi.  Blok przeszedł termomodernizację, mieszkanie w pełni energooszczędne.",https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-84-50-m2-na-jelonkach-bemow-ID4nl4R,no info,Jelonki Północne, Bemowo, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
Sprzedam bezpośrednio 3 -pokojowe mieszkanie,799000,63.7,https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-3-pokojowe-mieszkanie-ID4ndq9,3,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,"Mieszkanie trzy-pokojowe o powierzchni 63, 7 m2 położone na Żeraniu, na osiedlu Igrzyskowa, w ostatnim najdalej położonym od ul. Modlińskiej budynku (ponad 250 metrów od początku budynku do ul. Modlińskiej). Mieszkanie znajduje się na 3 piętrze w 4-piętrowym budynku z windą, pod budynkiem jest garaż podziemny. Powierzchnia: 63,7 m2 + balkon o powierzchni 8,1 m2. Rozkład pomieszczeń: - salon z kuchnią: 28 m2 - sypialnia: 9,3 m2 -sypialnia: 13,4 m2 - łazienka: 4,3 m2 - wc/pomieszczenie gospodarcze: 1,6 m2 - hall: 7 m2 - balkon: 8,1 m2 Do mieszkania przynależą: dwa miejsca parkingowe (jedno w hali garażowej pod budynkiem, drugie miejsce w drugiej hali garażowej) oraz komórka lokatorska o powierzchni 2,85 m2. Miejsca parkingowe oraz komórka dodatkowo płatne: 35 000 zł za miejsce (istnieje możliwość zakupu tylko jednego miejsca parkingowego). Komórka lokatorska: 25 000 zł (można kupić mieszkanie bez komórki lokatorskiej). Mieszkanie w bardzo dobrym stanie (ostatni remont w dwóch sypialniach w 2020 roku). Mieszkanie ma wystawę mniej więcej północno-wschodnią. Wszystkie mieszkania w pionie posiadają taki sam rozkład a więc tak samo są podzielone na część dzienną i sypialną.    • Rodzaj budynku: Budynek mieszkalny  • Rok oddania do użytku: 2012  • Liczba pięter: 4 (5 kondygnacji)  • Winda: tak  • Domofon: Tak  • Ciepła woda: własna instalacja gazowa w budynku  • Gaz: Nie  • Ogrzewanie: Własna instalacja gazowa w budynku  • Internet: Tak  • Kablówka: Tak  • Liczniki ciepłej i zimnej wody: Tak   Budynek znajduje się w doskonałej i cichej lokalizacji. W najbliższej okolicy szkoły podstawowe, przedszkola (również nowe, kilkuletnie duże przedszkole państwowe przy ul. Myśliborskiej), sklepy, urząd dzielnicy, przychodnia, Galeria Północna, tereny zielone.  Bardzo dobry dojazd do centrum. Osiedle ogrodzone z terenami zielonymi, miejscem na rowery i placem zabaw. Mieszkanie bez kredytu, bezpośrednio. Mieszkanie w pełni wyposażone, lodówka, zmywarka, piekarnik, mikrofala. Meble – do uzgodnienia.  W sypialni  i holu szafy na wymiar,  w kuchni meble wykonywane przez stolarza. Mieszkanie przestronne, jasne i przytulne. Zakaz kopiowania zdjęć i ogłoszenia.",https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-3-pokojowe-mieszkanie-ID4ndq9,ul. Modlińska, Żerań, Białołęka, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
4 pokoje na Rydygiera,1999000,86.04,https://www.otodom.pl/pl/oferta/4-pokoje-na-rydygiera-ID4nwdA,4,no data,no data,no data,no data,"Dzień dobry, miło mi jest przedstawić mieszkanie 4 pokojowe z aneksem kuchennym na warszawskim Żoliborzu na znanym i cenionym osiedlu Robyg City Apartments.  Lokal wykończony jest w wysokim standardzie. W części dziennej mieszkania znajduje się gres z podgrzewaną podłogą oraz klimatyzacja i bio-kominek. W części sypialnianej tj. w trzech pokojach na podłodze położone jest drewno egzotyczne o wysokiej twardości.  Mieszkanie posiada łazienkę z wanną oraz oddzielne WC, pralka ukryta jest zabudową w przedpokoju. Stolarka okienna jest drewniana, mieszanie jest dobrze doświetlone ze względu dużą powierzchnię okien (strona wschodnia i południowa), dobre usytuowanie mieszkania w budynku - widok z okien nie jest ograniczony bezpośrednio wysoką zabudową.  Wysokość lokalu 2,9m. Mieszkanie posiada loggie będącą przedłużeniem salonu (powierzchnia loggii 7,5m2).  W budynku znajduje się recepcja z ochroną 24h na dobę.   Apartament znajduje się w nowoczesnej części Żoliborza na pograniczu Śródmieścia i Żoliborza Południowego. Ważnym aspektem dla rodzin z dziećmi jest bliskość nowoczesnej szkoły publicznej i licznych przedszkoli i żłobków. Lokalizacja zapewnia łatwy dostęp do komunikacji miejskiej, autobusów, metra oraz Dworca Gdańskiego. W pobliżu liczne restauracje i kawiarnie. Ponadto niedaleko znajdują się dwa centra handlowe. - Wysokość 2,9m - Funkcjonalny układ mieszkania oraz przemyślane rozwiązania - Większość mebli wykonana na wymiar/w zabudowie - Drewniane drzwi i okna - Wysoki standard wykończenia - Jasna i zamknięta kuchnia Mieszkanie bez obciążeń hipotecznych, praktycznie do zamieszkania od zaraz nawet bez konieczności odświeżenia lokalu. W cenie mieszkania meble i sprzęt AGD. Położenie w sercu Żoliborza umożliwia szybki dojazd do centrum miasta tramwajem lub autobusem. Bezpośrednim, szybkim autobusem dojedziemy także do metra Dw. Gdański (5 minut). Stacja PKP Powązkowska w bezpośredniej okolicy. Bogata infrastruktura w okolicy, liczne sklepy, kawiarnie, restauracje, placówki oświaty. Duży wybór żłobków i przedszkoli, nowo wybudowana szkoła podstawowa kilkadziesiąt metrów od domu. Mieszkanie własnościowe. Jest Księga Wieczysta. Zapraszamy do kontaktu oraz na prezentację. HomeAlly Paulina Korczak Doradca ds. Nieruchomości 789 168 881 Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego",https://www.otodom.pl/pl/oferta/4-pokoje-na-rydygiera-ID4nwdA,ul. Ludwika Rydygiera, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie,2023-10-12 15:53:10.016336
