rooms_No,ownership_form,interior_state,floor,balcony,parking_space,listing_type,description,year_built,building_type,lift,link2
1,pełna własność,do zamieszkania,5/8,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/w-sercu-woli-wyposazona-kawalerka-vat-23-ID4nb08
2,pełna własność,do wykończenia,parter/2,ogródek,N/A,,,,,,https://www.otodom.pl/pl/oferta/mikroapartament-37-m2-na-szczesliwicach-ID4nm65
3,N/A,do wykończenia,3/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokoje-pow-50-28-m2-garaz-plochocinska-199-ID4nt3D
3,spółdzielcze wł. prawo do lokalu,do remontu,1/6,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-56-42m2-z-3-balkonami-powisle-ID4nlTG
4,pełna własność,do wykończenia,8/8,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-dwa-duze-tarasy-ID4mTYh
3,pełna własność,do wykończenia,1/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-65m2-balkon-ID4ifja
2,pełna własność,do remontu,6/6,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-z-genialnym-widokiem-na-pl-konstytucji-ID4lFgP
1,pełna własność,do wykończenia,1/7,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-38m2-ogrodek-ID4iml4
2,pełna własność,do zamieszkania,7/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/jasne-i-komfortowe-dwupokojowe-mieszkanie-wlochy-ID4mP3z
3,pełna własność,do zamieszkania,> 10/12,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/3-pokoje-po-remoncie-ID4nkBs
2,pełna własność,do zamieszkania,6/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/skorosze-2-pok-45m2-balkon-garaz-ciche-ID4ns5l
2,pełna własność,N/A,1/2,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/ul-francuska-dwustronne-cicha-sypialnia-ID4nnyu
2,N/A,do zamieszkania,10/27,taras,N/A,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-z-duzym-tarasem-ID4mVoo
2,spółdzielcze wł. prawo do lokalu,do wykończenia,1/6,taras,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-jutrzenki-114-m030-ID4mwmc
4,pełna własność,do zamieszkania,5/6,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/jasne-4-pok-mieszkanie-77-m2-bemowo-gorce-ID4ns5E
3,pełna własność,do zamieszkania,2/5,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/luksusowy-3-pokojowy-apartament-na-woli-ID4nd17
3,pełna własność,do zamieszkania,parter/8,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/luksusowy-apartament-z-tarasem30m2-w-samym-centrum-ID4mVol
4,pełna własność,do zamieszkania,N/A,"balkon, ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/segment-z-lokalem-uzytkowym-ID4nshj
3,N/A,N/A,2/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/eco-budownictwo-kameralne-osiedle-polozone-na-tz-ID4ns6U
1,pełna własność,do zamieszkania,1/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/kawalerka-po-remnoncie-kamionek-ID4nsey
3,N/A,do zamieszkania,6/6,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokoje-i-taras-i-swietna-lokalizacja-ID4hNEI
3,pełna własność,N/A,2/3,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-80m2-strych-40m2-miejsce-postojowe-ID4mBz3
7,pełna własność,do zamieszkania,parter/3,"ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/apartament-na-sprzedaz-w-prestizowym-miejscu-ID4kPQR
3,pełna własność,do wykończenia,3/16,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-72m2-loggia-bezposrednio-ID4fC00
3,pełna własność,do wykończenia,1/3,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-69m2-loggia-bezposrednio-ID4mDjC
5,pełna własność,do zamieszkania,2/5,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-inwestycyjne-5-pokoi-blisko-konesera-ID4nqa8
2,pełna własność,do remontu,1/3,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/okazja-2-pokojowe-mieszkanie-do-remontu-ID4nrZC
3,pełna własność,do wykończenia,6/6,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/ursus-classic-mieszkanie-3-pok-c1-42-ID4lty2
2,pełna własność,N/A,N/A,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/wyjatkowe-eco-berensona-kredyt-2-bezposrednio-ID4npwa
3,pełna własność,do wykończenia,1/8,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-68m2-loggia-ID4hFh6
2,pełna własność,N/A,N/A,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/wyjatkowe-eco-berensona-kredyt-2-bezposrednio-ID4npdy
3,pełna własność,do wykończenia,1/1,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-3-4-pokojowe-z-tarasem-m11-1-pietro-ID4mpu1
3,pełna własność,do wykończenia,2,"balkon, ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/willa-aero-kameralna-willa-miejska-przy-parku-ID4l1qE
3,N/A,N/A,3/13,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-63-m-warszawa-ID4nsae
2,pełna własność,do remontu,3/9,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/rezerwacja-rezerwacja-ul-saska-38-5m2-plus-balkon-ID4ns9G
3,pełna własność,do zamieszkania,4/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-z-duzym-balkonem-ID4mRX4
4,N/A,N/A,> 10/22,taras,N/A,,,,,,https://www.otodom.pl/pl/oferta/penthouse-z-duzym-tarasem-i-widokiem-na-warszawe-ID4nsjH
4,pełna własność,do wykończenia,2/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-83m2-balkon-ID4e1WZ
