title,address,price,link1
"Unikalne, przestronne 4-pok, SKOROSZE, 2 łazienki","ul. Skoroszewska, Skorosze, Ursus, Warszawa, mazowieckie",1 410 000 zł,/pl/oferta/unikalne-przestronne-4-pok-skorosze-2-lazienki-ID4nuxn
BEZ POŚREDNIKÓW. Nowe 2 pokojowe m z loggia,"ul. Kokoryczki, Gocławek, Praga-Południe, Warszawa, mazowieckie",749 000 zł,/pl/oferta/bez-posrednikow-nowe-2-pokojowe-m-z-loggia-ID4nrB6
Apartament ul. Ordona dwa pokoje Bezpośrednio,"ul. Juliusza Ordona, Odolany, Wola, Warszawa, mazowieckie",650 000 zł,/pl/oferta/apartament-ul-ordona-dwa-pokoje-bezposrednio-ID4npZJ
"2 pokojowy apartament w otulinie Rezerwatu, Sadyba","ul. Bernardyńska, Czerniaków, Mokotów, Warszawa, mazowieckie",800 000 zł,/pl/oferta/2-pokojowy-apartament-w-otulinie-rezerwatu-sadyba-ID4nxnd
"Apartament Zlota 44, 2 sypialnie, 2 łazienki","ul. Złota, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",5 500 000 zł,/pl/oferta/apartament-zlota-44-2-sypialnie-2-lazienki-ID4ni6x
5 pokoi dla rodziny_Kabaty,"ul. Batystowa, Kabaty, Ursynów, Warszawa, mazowieckie",1 864 800 zł,/pl/oferta/5-pokoi-dla-rodziny-kabaty-ID4n76k
Mieszkanie 4-pokojowe z ogrodem 226 m2 - Ursynów,"Polki, Pyry, Ursynów, Warszawa, mazowieckie",1 412 000 zł,/pl/oferta/mieszkanie-4-pokojowe-z-ogrodem-226-m2-ursynow-ID4nuPh
BEZPOSREDNIO NOWE 4 pokojowe,"ul. Ostródzka 203, Brzeziny, Białołęka, Warszawa, mazowieckie",699 000 zł,/pl/oferta/bezposrednio-nowe-4-pokojowe-ID4koZR
"#BEZPOŚREDNIO: 4 pokoje, wysoki standard, 5 piętro","ul. Bokserska, Wyczółki, Ursynów, Warszawa, mazowieckie",1 448 000 zł,/pl/oferta/bezposrednio-4-pokoje-wysoki-standard-5-pietro-ID4nuSE
"Bezpoś. WolaLibre, Obozowa 20, narożne, prywatność","ul. Obozowa, Młynów, Wola, Warszawa, mazowieckie",1 310 000 zł,/pl/oferta/bezpos-wolalibre-obozowa-20-narozne-prywatnosc-ID4cGiE
BEZ POŚREDNIKÓW. Nowe 2 pokojowe m z loggia,"ul. Kokoryczki, Gocławek, Praga-Południe, Warszawa, mazowieckie",749 000 zł,/pl/oferta/bez-posrednikow-nowe-2-pokojowe-m-z-loggia-ID4nrB6
"Mieszkanie od właściciela, 2 pok., Bielany, niedal","ul. Heroldów, Młociny, Bielany, Warszawa, mazowieckie",639 000 zł,/pl/oferta/mieszkanie-od-wlasciciela-2-pok-bielany-niedal-ID4mTUZ
